cik,tick,compNameE,,,,
787441,MCSEX,MAINSTAY FUNDS,0000787441,"""0000787441"",",#N/A,0
790070,EMC,EMC CORP,0000790070,"""0000790070"",",#N/A,0
790526,PMDX,"RadNet, Inc.",0000790526,"""0000790526"",",790526,0
792394,VOLMX,VOLUMETRIC FUND INC,0000792394,"""0000792394"",",#N/A,0
794367,FD,"Macy's, Inc.",0000794367,"""0000794367"",",794367,0
798244,MCCXX,MFS SERIES TRUST I,0000798244,"""0000798244"",",#N/A,0
801898,JOYG,JOY GLOBAL INC,0000801898,"""0000801898"",",801898,0
804212,ARG,AIRGAS INC,0000804212,"""0000804212"",",#N/A,0
805264,AXLL,AXIALL CORP/DE/,0000805264,"""0000805264"",",#N/A,0
805928,LECT,"AxoGen, Inc.",0000805928,"""0000805928"",",805928,0
806888,RBM,RESPONSE BIOMEDICAL CORP,0000806888,"""0000806888"",",806888,0
807884,CSH,CASH AMERICA INTERNATIONAL INC,0000807884,"""0000807884"",",#N/A,0
812796,SNGX,"SOLIGENIX, INC.",0000812796,"""0000812796"",",#N/A,0
813298,CMRG,"DESTINATION XL GROUP, INC.",0000813298,"""0000813298"",",813298,0
814926,CHDO,"CAPSTONE COMPANIES, INC.",0000814926,"""0000814926"",",814926,0
815093,ANGN,MGC DIAGNOSTICS Corp,0000815093,"""0000815093"",",815093,0
818033,APPA,"HERON THERAPEUTICS, INC. /DE/",0000818033,"""0000818033"",",818033,0
819926,MLEX,"Cleantech Solutions International, Inc.,",0000819926,"""0000819926"",",819926,0
821483,DPTR,"PAR PACIFIC HOLDINGS, INC.",0000821483,"""0000821483"",",821483,0
821995,CBRX,JUNIPER PHARMACEUTICALS INC,0000821995,"""0000821995"",",821995,0
822370,CNSO,"MYnd Analytics, Inc.",0000822370,"""0000822370"",",822370,0
822997,KAIH,INTERNATIONAL PACKAGING & LOGISTICS GROUP INC.,0000822997,"""0000822997"",",822997,0
825759,TCUEX,TRUST FOR CREDIT UNIONS,0000825759,"""0000825759"",",#N/A,0
825788,DIVALL,DIVALL INSURED INCOME PROPERTIES 2 LIMITED PARTNERSHIP,0000825788,"""0000825788"",",#N/A,1
828878,RHRS,"GREAT CHINA INTERNATIONAL HOLDINGS, INC.",0000828878,"""0000828878"",",828878,0
829323,THK,"Inuvo, Inc.",0000829323,"""0000829323"",",829323,0
830616,SCCI,"SCI Engineered Materials, Inc.",0000830616,"""0000830616"",",830616,0
830748,PCE,"PACIFIC OFFICE PROPERTIES TRUST, INC.",0000830748,"""0000830748"",",830748,0
830916,MFLX,MULTI FINELINE ELECTRONIX INC,0000830916,"""0000830916"",",#N/A,0
832480,UTGI,UTG INC,0000832480,"""0000832480"",",832480,0
832489,DNTK,"GeoVax Labs, Inc.",0000832489,"""0000832489"",",832489,0
833251,NPI,NUVEEN PREMIUM INCOME MUNICIPAL FUND INC,0000833251,"""0000833251"",",#N/A,0
833444,TYC,TYCO INTERNATIONAL plc,0000833444,"""0000833444"",",#N/A,0
836267,TFC,SCM Trust,0000836267,"""0000836267"",",#N/A,0
844059,PATR,"FRP HOLDINGS, INC.",0000844059,"""0000844059"",",844059,0
844143,JOEZ,Differential Brands Group Inc.,0000844143,"""0000844143"",",844143,0
844856,VPCOR,VAPOR CORP.,0000844856,"""0000844856"",",844856,0
845385,RONE,PRINCETON CAPITAL CORP,0000845385,"""0000845385"",",845385,0
846377,WKLI,"SOURCE FINANCIAL, INC.",0000846377,"""0000846377"",",846377,0
846931,NHTB,Lake Sunapee Bank Group,0000846931,"""0000846931"",",846931,0
849145,COBT,Heritage Global Inc.,0000849145,"""0000849145"",",849145,0
849213,PCL,PLUM CREEK TIMBER CO INC,0000849213,"""0000849213"",",#N/A,0
849998,NPP,NUVEEN PERFORMANCE PLUS MUNICIPAL FUND INC,0000849998,"""0000849998"",",#N/A,0
853180,VPR,Invesco Senior Loan Fund,0000853180,"""0000853180"",",#N/A,0
857949,CGAG,"China Green Agriculture, Inc.",0000857949,"""0000857949"",",857949,0
858655,HYNI,HAYNES INTERNATIONAL INC,0000858655,"""0000858655"",",858655,0
860188,NMO,NUVEEN MUNICIPAL MARKET OPPORTUNITY FUND INC,0000860188,"""0000860188"",",#N/A,0
862651,GISV,"Investview, Inc.",0000862651,"""0000862651"",",862651,0
862716,NQM,NUVEEN INVESTMENT QUALITY MUNICIPAL FUND INC,0000862716,"""0000862716"",",#N/A,0
864508,APPXX,Cavanal Hill Funds,0000864508,"""0000864508"",",#N/A,0
864559,CSCD,CASCADE MICROTECH INC,0000864559,"""0000864559"",",#N/A,0
865436,WFMI,WHOLE FOODS MARKET INC,0000865436,"""0000865436"",",865436,0
865752,HANS,Monster Beverage Corp,0000865752,"""0000865752"",",865752,0
866121,ATK,"ORBITAL ATK, INC.",0000866121,"""0000866121"",",866121,0
866829,CDIS,HELIX ENERGY SOLUTIONS GROUP INC,0000866829,"""0000866829"",",866829,0
868278,QGLY,"ProPhase Labs, Inc.",0000868278,"""0000868278"",",868278,0
869356,PBEQX,PIONEER EQUITY INCOME FUND,0000869356,"""0000869356"",",#N/A,0
870826,VVTV,EVINE Live Inc.,0000870826,"""0000870826"",",870826,0
872064,NQS,NUVEEN SELECT QUALITY MUNICIPAL FUND INC,0000872064,"""0000872064"",",#N/A,0
872448,ATML,ATMEL CORP,0000872448,"""0000872448"",",#N/A,0
874015,ISIS,IONIS PHARMACEUTICALS INC,0000874015,"""0000874015"",",874015,0
874501,ABK,AMBAC FINANCIAL GROUP INC,0000874501,"""0000874501"",",874501,0
875352,DPGIX,DELAWARE POOLED TRUST,0000875352,"""0000875352"",",#N/A,0
875582,NTI,NORTHERN TECHNOLOGIES INTERNATIONAL CORP,0000875582,"""0000875582"",",875582,0
878560,SPF,"CalAtlantic Group, Inc.",0000878560,"""0000878560"",",#N/A,0
879682,PLCSF,"VIVEVE MEDICAL, INC.",0000879682,"""0000879682"",",879682,0
880116,GBFP,Southeastern Bank Financial CORP,0000880116,"""0000880116"",",880116,0
880845,NPF,NUVEEN PREMIER MUNICIPAL INCOME FUND INC,0000880845,"""0000880845"",",#N/A,0
880943,SGL,STRATEGIC GLOBAL INCOME FUND INC,0000880943,"""0000880943"",",#N/A,0
881790,HFFC,HF FINANCIAL CORP,0000881790,"""0000881790"",",#N/A,0
882154,POWR,"POWERSECURE INTERNATIONAL, INC.",0000882154,"""0000882154"",",#N/A,0
884217,MW,TAILORED BRANDS INC,0000884217,"""0000884217"",",884217,0
885322,ABCW,ANCHOR BANCORP WISCONSIN INC,0000885322,"""0000885322"",",#N/A,0
885462,DSFX,"GULF RESOURCES, INC.",0000885462,"""0000885462"",",885462,0
885734,NPM,NUVEEN PREMIUM INCOME MUNICIPAL FUND 2 INC,0000885734,"""0000885734"",",#N/A,0
887247,CLGY,Adamis Pharmaceuticals Corp,0000887247,"""0000887247"",",887247,0
890447,WDWT,Vertex Energy Inc.,0000890447,"""0000890447"",",890447,0
890821,SPZR,"AMERI Holdings, Inc.",0000890821,"""0000890821"",",890821,0
891103,IACI,IAC/INTERACTIVECORP,0000891103,"""0000891103"",",891103,0
892553,CIDI,CHART INDUSTRIES INC,0000892553,"""0000892553"",",892553,0
893847,EXJF,"HAWTHORN BANCSHARES, INC.",0000893847,"""0000893847"",",893847,0
893949,PDX,"MEDNAX, INC.",0000893949,"""0000893949"",",893949,0
894237,VSCI,COGENTIX MEDICAL INC /DE/,0000894237,"""0000894237"",",894237,0
894405,ABFS,ARCBEST CORP /DE/,0000894405,"""0000894405"",",894405,0
895655,JAH,JARDEN CORP,0000895655,"""0000895655"",",#N/A,0
896159,ACE,Chubb Ltd,0000896159,"""0000896159"",",#N/A,0
897078,FSTWC,"Textmunication Holdings, Inc.",0000897078,"""0000897078"",",897078,0
897111,HTCSX,EAGLE SERIES TRUST,0000897111,"""0000897111"",",#N/A,0
903129,ARGN,GENTHERM Inc,0000903129,"""0000903129"",",903129,0
907654,NUVO,"ARCA biopharma, Inc.",0000907654,"""0000907654"",",907654,0
908259,OXGN,OXIGENE INC,0000908259,"""0000908259"",",908259,0
908996,PBREX,PIONEER REAL ESTATE SHARES,0000908996,"""0000908996"",",#N/A,0
909226,TCWF,TEMPLETON CHINA WORLD FUND,0000909226,"""0000909226"",",#N/A,0
909281,NBP,ONEOK Partners LP,0000909281,"""0000909281"",",909281,0
909954,GMCR,"KEURIG GREEN MOUNTAIN, INC.",0000909954,"""0000909954"",",#N/A,0
912093,JDSU,VIAVI SOLUTIONS INC.,0000912093,"""0000912093"",",912093,0
912766,SLVN,"LAUREATE EDUCATION, INC.",0000912766,"""0000912766"",",#N/A,0
913077,AFFX,AFFYMETRIX INC,0000913077,"""0000913077"",",#N/A,0
913277,CLRS,"Black Diamond, Inc.",0000913277,"""0000913277"",",913277,0
913662,ETF,"ABERDEEN EMERGING MARKETS SMALLER Co OPPORTUNITIES FUND, INC.",0000913662,"""0000913662"",",#N/A,0
914329,FEIC,FEI CO,0000914329,"""0000914329"",",#N/A,0
916620,NORXX,NORTHERN FUNDS,0000916620,"""0000916620"",",#N/A,0
919864,NWINOB,NORTHWEST INDIANA BANCORP,0000919864,"""0000919864"",",919864,0
919956,AVCA,"Diversicare Healthcare Services, Inc.",0000919956,"""0000919956"",",919956,0
921112,LRY,LIBERTY PROPERTY TRUST,0000921112,"""0000921112"",",921112,0
922475,ESI,ITT EDUCATIONAL SERVICES INC,0000922475,"""0000922475"",",922475,0
923796,GGI,GEO GROUP INC,0000923796,"""0000923796"",",923796,0
924383,ATCO,LRAD Corp,0000924383,"""0000924383"",",924383,0
925741,CLIK,"BioCardia, Inc.",0000925741,"""0000925741"",",#N/A,0
926761,ECP,CANTERBURY PARK HOLDING CORP,0000926761,"""0000926761"",",926761,0
928421,MTSN,MATTSON TECHNOLOGY INC,0000928421,"""0000928421"",",#N/A,0
930007,PREEF,PACE SELECT ADVISORS TRUST,0000930007,"""0000930007"",",#N/A,0
931059,CLRX,"Rennova Health, Inc.",0000931059,"""0000931059"",",931059,0
933590,CBIN,"Your Community Bankshares, Inc.",0000933590,"""0000933590"",",#N/A,0
934563,HCIBX,HC CAPITAL TRUST,0000934563,"""0000934563"",",#N/A,0
936446,PAOS,"Precision Aerospace Components, Inc.",0000936446,"""0000936446"",",#N/A,0
937136,HDY,HYPERDYNAMICS CORP,0000937136,"""0000937136"",",937136,0
937941,MALL,"PCM, INC.",0000937941,"""0000937941"",",937941,0
941568,CCRSX,CREDIT SUISSE TRUST,0000941568,"""0000941568"",",#N/A,0
941604,OUTR,OUTERWALL INC,0000941604,"""0000941604"",",#N/A,0
943861,GDP,GOODRICH PETROLEUM CORP,0000943861,"""0000943861"",",#N/A,0
944314,SSS,SOVRAN SELF STORAGE INC,0000944314,"""0000944314"",",#N/A,0
944745,FCZA,"CIVISTA BANCSHARES, INC.",0000944745,"""0000944745"",",944745,0
945699,SYXI,IXYS CORP /DE/,0000945699,"""0000945699"",",945699,0
946486,DSCO,DISCOVERY LABORATORIES INC /DE/,0000946486,"""0000946486"",",946486,0
949858,SNUS,"ONCOGENEX PHARMACEUTICALS, INC.",0000949858,"""0000949858"",",949858,0
1000180,SNDK,SANDISK CORP,0001000180,"""0001000180"",",#N/A,0
1000209,TAXI,MEDALLION FINANCIAL CORP,0001000209,"""0001000209"",",1000209,0
1000230,OCCF,OPTICAL CABLE CORP,0001000230,"""0001000230"",",1000230,0
1001115,OYOG,GEOSPACE TECHNOLOGIES CORP,0001001115,"""0001001115"",",1001115,0
1001601,MSHT,MGT CAPITAL INVESTMENTS INC,0001001601,"""0001001601"",",1001601,0
1001606,BLT,BLOUNT INTERNATIONAL INC,0001001606,"""0001001606"",",#N/A,0
1003201,MMAB,"MMA CAPITAL MANAGEMENT, LLC",0001003201,"""0001003201"",",1003201,0
1003632,SAMGX,SEI ASSET ALLOCATION TRUST,0001003632,"""0001003632"",",#N/A,0
1004673,VNX,Entertainment Gaming Asia Inc.,0001004673,"""0001004673"",",1004673,0
1006281,OTIX,"Protalix BioTherapeutics, Inc.",0001006281,"""0001006281"",",#N/A,0
1006424,FFBH,"BEAR STATE FINANCIAL, INC.",0001006424,"""0001006424"",",1006424,0
1009891,ASHN,AIR INDUSTRIES GROUP,0001009891,"""0001009891"",",1009891,0
1010552,PLCM,POLYCOM INC,0001010552,"""0001010552"",",#N/A,0
1011509,AUM,Golden Minerals Co,0001011509,"""0001011509"",",1011509,0
1011835,MDVN,"MEDIVATION, INC.",0001011835,"""0001011835"",",#N/A,0
1012019,RUSH,RUSH ENTERPRISES INC /TX/,0001012019,"""0001012019"",",1012019,0
1017491,NEXM,"APRICUS BIOSCIENCES, INC.",0001017491,"""0001017491"",",1017491,0
1017616,OWOO,"ONE WORLD HOLDINGS, INC.",0001017616,"""0001017616"",",1017616,0
1020475,PBME,"GRANDPARENTS.COM, INC.",0001020475,"""0001020475"",",1020475,0
1022646,UPL,ULTRA PETROLEUM CORP,0001022646,"""0001022646"",",1022646,0
1022652,NVTL,NOVATEL WIRELESS INC,0001022652,"""0001022652"",",1022652,0
1022899,MILB,"Atrinsic, Inc.",0001022899,"""0001022899"",",#N/A,0
1023298,PIXG,alpha-En Corp,0001023298,"""0001023298"",",#N/A,0
1023994,CSDI,"SG BLOCKS, INC.",0001023994,"""0001023994"",",#N/A,0
1025362,GQM,GOLDEN QUEEN MINING CO LTD,0001025362,"""0001025362"",",1025362,0
1025770,ICSEX,ICON FUNDS,0001025770,"""0001025770"",",#N/A,0
1025953,NOVS,"NOVATION COMPANIES, INC.",0001025953,"""0001025953"",",1025953,0
1027207,EPIQ,EPIQ SYSTEMS INC,0001027207,"""0001027207"",",#N/A,0
1031093,SVBR,"SILVER BULL RESOURCES, INC.",0001031093,"""0001031093"",",1031093,0
1031235,GIFD,"Global Self Storage, Inc.",0001031235,"""0001031235"",",1031235,0
1034760,WDPT,WIDEPOINT CORP,0001034760,"""0001034760"",",1034760,0
1036188,QADI,QAD INC,0001036188,"""0001036188"",",1036188,0
1037649,ILGN,INTERLEUKIN GENETICS INC,0001037649,"""0001037649"",",1037649,0
1037676,ACI,ARCH COAL INC,0001037676,"""0001037676"",",1037676,0
1038222,WRP,"Reis, Inc.",0001038222,"""0001038222"",",1038222,0
1038773,CSBQ,SMARTFINANCIAL INC.,0001038773,"""0001038773"",",1038773,0
1040792,HMNA,Helios & Matheson Analytics Inc.,0001040792,"""0001040792"",",1040792,0
1042418,CBTEQ,"HedgePath Pharmaceuticals, Inc.",0001042418,"""0001042418"",",1042418,0
1045609,AMB,"Prologis, Inc.",0001045609,"""0001045609"",",#N/A,0
1048268,IES,"Integrated Electrical Services, Inc.",0001048268,"""0001048268"",",1048268,0
1050377,PCCC,PC CONNECTION INC,0001050377,"""0001050377"",",1050377,0
1051741,FNFG,FIRST NIAGARA FINANCIAL GROUP INC,0001051741,"""0001051741"",",#N/A,0
1053691,SMDI,Diffusion Pharmaceuticals Inc.,0001053691,"""0001053691"",",1053691,0
1054905,OTL,INNOSPEC INC.,0001054905,"""0001054905"",",1054905,0
1057379,ANSR,"HACKETT GROUP, INC.",0001057379,"""0001057379"",",1057379,0
1058307,SILV,Orbital Tracking Corp.,0001058307,"""0001058307"",",1058307,0
1060392,HYF,MANAGED HIGH YIELD PLUS FUND INC,0001060392,"""0001060392"",",#N/A,0
1060426,CAXG,"AOXING PHARMACEUTICAL COMPANY, INC.",0001060426,"""0001060426"",",1060426,0
1061027,SSNS,SUNESIS PHARMACEUTICALS INC,0001061027,"""0001061027"",",1061027,0
1062438,PULB,PULASKI FINANCIAL CORP,0001062438,"""0001062438"",",#N/A,0
1063197,TOVC,TORVEC INC,0001063197,"""0001063197"",",1063197,0
1065059,USU,CENTRUS ENERGY CORP,0001065059,"""0001065059"",",1065059,0
1065598,BDCN,"DigitalTown, Inc.",0001065598,"""0001065598"",",1065598,0
1066104,EXBD,CEB Inc.,0001066104,"""0001066104"",",1066104,0
1066764,NWMV,"Spine Injury Solutions, Inc",0001066764,"""0001066764"",",1066764,0
1066980,VPRJX,VANTAGEPOINT FUNDS,0001066980,"""0001066980"",",#N/A,0
1067983,BRK,BERKSHIRE HATHAWAY INC,0001067983,"""0001067983"",",#N/A,0
1068851,PRSP,PROSPERITY BANCSHARES INC,0001068851,"""0001068851"",",1068851,0
1068875,INSP,"BLUCORA, INC.",0001068875,"""0001068875"",",1068875,0
1070154,PBNY,STERLING BANCORP,0001070154,"""0001070154"",",#N/A,0
1070680,GCFC,CENTRAL FEDERAL CORP,0001070680,"""0001070680"",",1070680,0
1071411,FSN,FUSION TELECOMMUNICATIONS INTERNATIONAL INC,0001071411,"""0001071411"",",1071411,0
1072379,NWBT,NORTHWEST BIOTHERAPEUTICS INC,0001072379,"""0001072379"",",1072379,0
1075736,EXE,"Crexendo, Inc.",0001075736,"""0001075736"",",1075736,0
1076481,SQNM,SEQUENOM INC,0001076481,"""0001076481"",",#N/A,0
1076522,ICTL,ICTV Brands Inc.,0001076522,"""0001076522"",",1076522,0
1076784,SUNO,"Yosen Group, Inc.",0001076784,"""0001076784"",",1076784,0
1076930,GSIG,GSI GROUP INC,0001076930,"""0001076930"",",#N/A,0
1077370,INSW,"Prism Technologies Group, Inc.",0001077370,"""0001077370"",",1077370,0
1077452,PSRBX,PIONEER STRATEGIC INCOME FUND,0001077452,"""0001077452"",",#N/A,0
1079297,PGEI,"ProGreen Properties, Inc.",0001079297,"""0001079297"",",1079297,0
1080014,THRX,"Innoviva, Inc.",0001080014,"""0001080014"",",1080014,0
1080319,PNDR,EMPIRE GLOBAL CORP.,0001080319,"""0001080319"",",1080319,0
1080340,DAGM,"MANHATTAN BRIDGE CAPITAL, INC",0001080340,"""0001080340"",",1080340,0
1081078,RBCV,API Technologies Corp.,0001081078,"""0001081078"",",#N/A,0
1081568,MLOBF,FIRST ASIA HOLDINGS Ltd,0001081568,"""0001081568"",",1081568,0
1081745,GWIV,"INTELLINETICS, INC.",0001081745,"""0001081745"",",1081745,0
1082324,PASW,VirnetX Holding Corp,0001082324,"""0001082324"",",1082324,0
1082506,UPIP,"UNWIRED PLANET, INC.",0001082506,"""0001082506"",",1082506,0
1082526,SQI,SCIQUEST INC,0001082526,"""0001082526"",",#N/A,0
1082733,PWRI,"NuSTATE ENERGY HOLDINGS, INC.",0001082733,"""0001082733"",",1082733,0
1083220,NFBH,"XCel Brands, Inc.",0001083220,"""0001083220"",",1083220,0
1084752,EONC,"Inventergy Global, Inc.",0001084752,"""0001084752"",",1084752,0
